accion	origen	destino	motivo
MOVIDO	emu/ROMS/ATARI2600/Dodge 'em (NA).png	emu/MEDIA/ATARI2600/Dodge 'em (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dolphin (NA).png	emu/MEDIA/ATARI2600/Dolphin (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Donald Duck's Speedboat (Prototype).png	emu/MEDIA/ATARI2600/Donald Duck's Speedboat (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Donkey Kong (NA).png	emu/MEDIA/ATARI2600/Donkey Kong (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Donkey Kong Junior (NA).png	emu/MEDIA/ATARI2600/Donkey Kong Junior (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Double Dragon (NA).png	emu/MEDIA/ATARI2600/Double Dragon (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Double Dunk (NA).png	emu/MEDIA/ATARI2600/Double Dunk (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dragon Defender (NTSC Conversion).png	emu/MEDIA/ATARI2600/Dragon Defender (NTSC Conversion).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dragonfire (NA).png	emu/MEDIA/ATARI2600/Dragonfire (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dragonstomper (NA).png	emu/MEDIA/ATARI2600/Dragonstomper (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dragster (NA).png	emu/MEDIA/ATARI2600/Dragster (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dukes of Hazzard (Prototype).png	emu/MEDIA/ATARI2600/Dukes of Hazzard (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dumbo's Flying Circus (Prototype).png	emu/MEDIA/ATARI2600/Dumbo's Flying Circus (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Dune (Prototype).png	emu/MEDIA/ATARI2600/Dune (Prototype).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/E.T. - The Extra-Terrestrial (NA).png	emu/MEDIA/ATARI2600/E.T. - The Extra-Terrestrial (NA).png	carátula a MEDIA
MOVIDO	emu/ROMS/ATARI2600/Eggomania (NA).png	emu/MEDIA/ATARI2600/Eggomania (NA).png	carátula a MEDIA
